Dim_1,Dim_2,Dim_3,label
10.75268268585205,-15.663662910461426,8.121298789978027,1.0
-13.123517990112305,-14.936084747314453,-14.568020820617676,0.0
19.134929656982422,-2.492166519165039,2.377361536026001,1.0
-6.266178131103516,10.545734405517578,-13.817137718200684,4.0
-16.256053924560547,-16.08224105834961,-13.90104866027832,0.0
5.892663955688477,-17.43566131591797,-16.052169799804688,0.0
-8.091501235961914,-10.601958274841309,20.223787307739258,7.0
-1.3667038679122925,9.46679973602295,-10.8342924118042,3.0
6.62127685546875,10.372764587402344,-5.57183837890625,5.0
-7.697500705718994,-7.465424537658691,-1.679208517074585,3.0
5.617944717407227,0.7707465291023254,10.699641227722168,8.0
3.567686080932617,5.359345436096191,20.165786743164062,9.0
22.177600860595703,-4.209321022033691,4.185471057891846,1.0
-17.27383041381836,0.9712966084480286,-14.256525039672852,3.0
-11.191176414489746,-11.513961791992188,-2.8761110305786133,3.0
21.8721923828125,1.4198354482650757,3.2408125400543213,1.0
-13.436779975891113,-4.615307331085205,-12.761085510253906,2.0
1.2683933973312378,-22.737377166748047,-3.44158935546875,0.0
-0.3231922686100006,-5.741745471954346,24.497987747192383,7.0
-16.06418800354004,9.266966819763184,-3.315737724304199,5.0
5.43408203125,13.818556785583496,15.731078147888184,8.0
4.203681945800781,11.55223560333252,3.4645578861236572,6.0
-10.70968246459961,-2.955483913421631,-3.8033668994903564,2.0
-13.769125938415527,-16.319082260131836,-13.281562805175781,0.0
-12.482880592346191,-2.129002809524536,-16.26904296875,2.0
-2.0974631309509277,-8.249382972717285,-0.31760165095329285,3.0
2.8762030601501465,17.247177124023438,-7.917236804962158,6.0
1.1127573251724243,12.5301513671875,23.090160369873047,9.0
-2.4155967235565186,3.015774726867676,23.858762741088867,9.0
-12.467259407043457,-8.560270309448242,7.630944728851318,7.0
9.457453727722168,8.572114944458008,14.931270599365234,8.0
-11.028152465820312,7.332662582397461,14.76036262512207,9.0
3.336557149887085,5.438395977020264,-2.4072539806365967,4.0
